seed,accuracy,sensitivity,specificity,f1,roc_auc
7,0.7631578947368421,0.5,0.9166666666666666,0.6086956521739131,0.8449074074074074
21,0.7894736842105263,0.5,0.9583333333333334,0.6363636363636364,0.8811177248677249
42,0.807,0.5714,0.9444,0.6857,0.8861
123,0.8421052631578947,0.6428571428571429,0.9583333333333334,0.75,0.8907076719576718
2026,0.7982456140350878,0.5714285714285714,0.9305555555555556,0.676056338028169,0.8761574074074073
