subset,model,accuracy,sensitivity,specificity,precision,f1,roc_auc
4_features,Logistic Regression,0.9298245614035088,0.9523809523809523,0.9166666666666666,0.8695652173913043,0.9090909090909091,0.9907407407407407
4_features,Random Forest,0.9298245614035088,0.9285714285714286,0.9305555555555556,0.8863636363636364,0.9069767441860465,0.9856150793650794
6_features,Logistic Regression,0.9298245614035088,0.9523809523809523,0.9166666666666666,0.8695652173913043,0.9090909090909091,0.9920634920634921
6_features,Random Forest,0.9473684210526315,0.9285714285714286,0.9583333333333334,0.9285714285714286,0.9285714285714286,0.9871031746031746
