model,accuracy,sensitivity,specificity,precision,f1,roc_auc
Logistic Regression,0.9298245614035088,0.9523809523809524,0.9166666666666666,0.8695652173913043,0.9090909090909092,0.9907407407407408
Random Forest,0.9298245614035088,0.9285714285714286,0.9305555555555556,0.8863636363636364,0.9069767441860463,0.9856150793650794
VQC,0.5964912280701754,0.3333333333333333,0.75,0.4375,0.3783783783783784,0.6388888888888888
