metric,mean,std,min,max
accuracy,0.7999964912280702,0.02869266037889032,0.7631578947368421,0.8421052631578947
sensitivity,0.5571371428571428,0.05975972433889924,0.5,0.6428571428571429
specificity,0.9416577777777778,0.01810720203212246,0.9166666666666666,0.9583333333333334
f1,0.6713631253131437,0.053766873394020025,0.6086956521739131,0.75
roc_auc,0.8757980423280423,0.018104466844889065,0.8449074074074074,0.8907076719576718
